"strain","temperature","lag","mumax","od0","odmax","sdlag","sdmumax","sdod0","sdodmax","N"
"AF16",20,54.0957598049788,0.0333690712062429,-0.0551055169766751,0.789402581632406,4.7673578977084,0.00631087808499689,0.0569963667775135,0.0123197903989924,7
"AF16",29,49.599797696957,0.0765018294519,-0.297281249984459,0.716811188811189,8.34762338162201,0.0324607241815347,0.0703782148724613,0.0447548557675403,8
"HK104",20,57.9752469117923,0.0300419757699822,-0.211083333291145,0.250036365563675,36.8368225675598,0.0455378413381727,0.111605020241378,0.74778470310954,2
"HK104",29,48.1156798206405,0.0730658259933372,-0.2605625000055,0.755526223776224,7.26787220117215,0.0260489853435521,0.146625426260018,0.0121387837155572,4
"PB1106",20,48.5221646290704,0.0320201376401045,-0.0188214286927022,0.691898828868029,11.6652315846613,0.0205078542125054,0.0575403323655251,0.282951067046277,7
"PB1106",29,56.6630282492505,0.0379872783715648,-0.505249999734255,0.746698412698413,3.80890951314153,0.00373028738376131,0.00919238788119435,0.00507321055708459,2
"PB1114",20,-50.7234805833876,0.0441621078359705,0.0824444446036215,0.490408495690973,202.11269004228,0.044797243109023,0.280359606849039,0.621740037996795,3
"PB1114",29,52.4097338324932,0.0522727289626269,-0.403706800789213,0.741082323208872,4.53392665989305,0.0162279702030814,0.0409150484468447,0.0136735976156221,5
"PB1127",20,50.2852538933136,0.0343754324318252,0.0510357144225381,0.690208226403463,11.8271604612207,0.0199037733398299,0.146230940913413,0.337622916688632,7
"PB1127",29,51.9043982221846,0.0607013763326698,-0.115854166660282,0.626176053421096,17.8341720947392,0.0290116297428664,0.411212460893275,0.327676799782422,8
"PB1142",20,48.0005905062584,0.0410127404409166,0.250797989733019,0.828115389176031,4.45619549033694,0.023864981899024,0.363062965695997,0.0546729298817091,6
"PB1142",29,43.1262604638132,0.0724030940205177,-0.192430555525844,0.759256077256077,7.7798180064308,0.0158275137977459,0.0474502785895287,0.0152895117991186,6
"PB1149",20,37.4042358763801,-3.49101144259817e-10,-0.25,-0.277933333323894,NA,NA,NA,NA,1
"PB1149",29,55.7992474642373,0.0820443341348875,-0.251499999997494,0.760155594405594,4.05991154048516,0.0216043625549468,0.0573610640315514,0.00606816914237802,4
"PB1165",20,66.9164880522328,0.0399155412511191,0.184225000916951,0.811373737373738,5.35061262867509,0.0177118334859156,0.214925104629679,0.0109422988765436,2
"PB1165",29,56.5343618873592,0.0699768056234625,-0.318437499912933,0.729244318181818,2.04751779761655,0.00597094436814723,0.0549046046656422,0.0111171317050631,4
"PB1174",20,122.744035081686,0.0320462886765554,0.0342916643569497,0.665074894839838,147.185804097865,0.0187720695737806,0.0745022524803247,0.362393630560917,6
"PB1174",29,55.0092247004483,0.0643377511800087,-0.142916666658675,0.754861072261072,5.61430406783264,0.0218835099804602,0.167091716333142,0.0654637149853971,6
"PB1229",20,56.1676478924449,0.0440759126260129,0.168615296353713,0.826801515471295,15.4330022554677,0.0173156238810035,0.202620588715554,0.0406547325558576,6
"PB1229",29,46.6984144591666,0.0502802610274151,-0.160986111049237,0.599570525048809,9.08468419811674,0.0314201220972715,0.134078401707666,0.318292022509565,6
"S-media",20,34.5810741303789,-1.66268563591894e-05,0.909999993272723,0.911958627681373,0.580922533033906,5.25406491493563e-05,0.00273862261329142,0.00168807119126937,8
"S-media",29,55.0376979752909,0.00139536913516696,0.900375000014906,0.899041666762397,42.4532243868368,0.00144090099247511,0.00814050717180284,0.00688364836438498,8
"S-media + bacteria",20,57.7108004604379,-0.02298090676073,0.0120000000267382,-0.0718881098960337,24.0845614572117,0.0442723200441436,0.179654529564837,0.164969194392423,3
"S-media + bacteria",29,29.7285195734702,-0.0262494617652716,-0.4,-0.440400000045772,NA,NA,NA,NA,1
